content_id,candidate_name,platform,content_title,published_date,views,likes,comments,engagement,data_collected_date,year,month,month_name,engagement_rate
Vw8xKpOY97I,Bola Tinubu,YouTube,"""I'm different , I am Bola Ahmed Tinubu"" (Full Interview) - BBC Africa",2022-12-06 16:39:39+00:00,774579,6297,3219,9516,2026-05-07,2022,12,December,0.01228538341473239
O2yOluE__Us,Bola Tinubu,YouTube,Bola Tinubu spoke about his presidential candidacy. Here’s a taster #nigeria #bolatinubu #tinubu,2022-12-07 16:14:23+00:00,919660,17333,1568,18901,2026-05-07,2022,12,December,0.020552160581084312
YnFmW5X4Nnc,Bola Tinubu,YouTube,LIVE: King Charles hosts Nigeria’s president Bola Tinubu at Windsor Castle,2026-03-18 14:34:42+00:00,11904,181,30,211,2026-05-07,2026,3,March,0.017725134408602152
gsogrpNNx0I,Bola Tinubu,YouTube,PRESIDENT BOLA TINUBU SPEECH AT THE APC ELECTIVE  NATIONAL CONVENTION ,2026-03-27 23:42:13+00:00,5014,18,10,28,2026-05-07,2026,3,March,0.005584363781412046
xPTK1k06Q6w,Bola Tinubu,YouTube,Bola Tinubu's state visit to UK: major steel deal agreed with British PM,2026-03-19 17:08:06+00:00,9792,38,63,101,2026-05-07,2026,3,March,0.01031454248366013
SUSsgWklrd0,Bola Tinubu,YouTube,President Bola Tinubu Presents 2026 Budget Proposal | LIVE,2025-12-19 15:33:54+00:00,18477,0,28,28,2026-05-07,2025,12,December,0.001515397521242626
5UkinykoyMk,Bola Tinubu,YouTube,PRESIDENT TINUBU BEGINS STATE VISIT TO TURKEY,2026-01-27 15:31:30+00:00,35472,221,203,424,2026-05-07,2026,1,January,0.011953089760938205
S2mhYfFckJQ,Bola Tinubu,YouTube,PRESIDENCY: TINUBU HALE AND HEARTY,2026-01-27 16:06:13+00:00,43513,261,134,395,2026-05-07,2026,1,January,0.009077746880242685
-I7y2SmdsIA,Bola Tinubu,YouTube,BOLA TINUBU'S FULL SPEECH AT THE NRS INAUGURATION ,2026-04-14 18:14:56+00:00,2472,25,8,33,2026-05-07,2026,4,April,0.013349514563106795
hbN7divrZio,Bola Tinubu,YouTube,"‘Portrayal Of Nigeria As Religiously Intolerant Not Our Reality,’ Tinubu Replies Trump",2025-11-02 09:17:53+00:00,19291,0,78,78,2026-05-07,2025,11,November,0.004043336270799855
70TCSazJr4Q,Atiku Abubakar,YouTube,Atiku Abubakar has sent Dino melaye to launch   media att@ck on Peter obi for leaving ADC coalition😉,2026-05-06 14:48:20+00:00,33584,1636,677,2313,2026-05-07,2026,5,May,0.06887208194378275
lighGn3GyMw,Atiku Abubakar,YouTube,Atiku Abubakar's Full Speech At The Nigerian Bar Association Annual General Conference 2022,2022-08-23 07:30:48+00:00,2365,145,14,159,2026-05-07,2022,8,August,0.06723044397463002
3gN1q-ysDhI,Atiku Abubakar,YouTube,Keneth Okonkwo described Atiku Abubakar personality,2026-05-07 11:58:36+00:00,661,10,1,11,2026-05-07,2026,5,May,0.01664145234493192
P-E7mfQcZuM,Atiku Abubakar,YouTube,Atiku Follows Peter Obi to NDC #shorts #fyp #satire #nigerian  #funny,2026-05-07 13:00:57+00:00,426,11,0,11,2026-05-07,2026,5,May,0.025821596244131457
lAWMsuHMf8I,Atiku Abubakar,YouTube,BREAKING: Galadima Drops Bombshell: Atiku Must Join NDC or Take Responsibility,2026-05-07 06:00:28+00:00,330,13,1,14,2026-05-07,2026,5,May,0.04242424242424243
K6pXSqa3EKM,Atiku Abubakar,YouTube,"ATIKU ABUBAKAR HAS PROPENSITY FOR CORRUPTION, SAYS KENNETH OKONKWO #viral #reels #trending #fypシ#fyp",2026-05-07 10:15:39+00:00,575,14,1,15,2026-05-07,2026,5,May,0.02608695652173913
9JqOkm4Re20,Atiku Abubakar,YouTube,"ADC Is Not A 'Special Purpose Vehicle' For Atiku Abubakar, Says ADC Chieftain",2026-05-04 09:32:13+00:00,6944,0,6,6,2026-05-07,2026,5,May,0.0008640552995391706
05HzTTisFrY,Atiku Abubakar,YouTube,Atiku Held Power for 8 Years and Wasted It; He Is a Waste of Time – Analyst Saheed Ajadi,2026-03-28 10:16:32+00:00,32185,200,39,239,2026-05-07,2026,3,March,0.007425819481124748
6I9pSbbF_tY,Atiku Abubakar,YouTube,Atiku Abubakar: 'All allegations have been investigated' - BBC Africa,2023-02-23 16:23:15+00:00,74775,641,328,969,2026-05-07,2023,2,February,0.01295887662988967
lcL0w9S3fxU,Peter Obi,YouTube,The Case for Peter Obi in the 2027 Elections,2026-05-07 15:22:13+00:00,1396,68,30,98,2026-05-07,2026,5,May,0.07020057306590258
FTZ4eSuJc88,Peter Obi,YouTube,Peter Obi's Educational Investment: 25Million Naira Donation Received At University of the Niger,2026-05-07 11:42:41+00:00,5488,160,39,199,2026-05-07,2026,5,May,0.03626093294460642
SB5Lly3gKA8,Peter Obi,YouTube,"Peter Obi Visits Niger University, Donates To Happy Students Generously",2026-05-07 12:01:54+00:00,1756,0,9,9,2026-05-07,2026,5,May,0.005125284738041002
gCERvOrFmu0,Peter Obi,YouTube,🗣️: Peter Obi wants to be president and he shouldn’t apologize for it.,2026-05-06 09:52:26+00:00,10655,238,10,248,2026-05-07,2026,5,May,0.02327545753167527
feGwHb_vBw0,Peter Obi,YouTube,Peter Obi Needed ADC; ADC Did Not Need Him - Kenneth Okonkwo ,2026-05-06 15:13:49+00:00,97351,1155,2684,3839,2026-05-07,2026,5,May,0.03943462316771271
