published_date,candidate_name,trend_score,platform,data_collected_date,year,month,month_name
2026-01-04,Bola Tinubu,30,Google Trends,2026-05-07,2026,1,January
2026-01-11,Bola Tinubu,27,Google Trends,2026-05-07,2026,1,January
2026-01-18,Bola Tinubu,30,Google Trends,2026-05-07,2026,1,January
2026-01-25,Bola Tinubu,44,Google Trends,2026-05-07,2026,1,January
2026-02-01,Bola Tinubu,28,Google Trends,2026-05-07,2026,2,February
2026-02-08,Bola Tinubu,27,Google Trends,2026-05-07,2026,2,February
2026-02-15,Bola Tinubu,33,Google Trends,2026-05-07,2026,2,February
2026-02-22,Bola Tinubu,35,Google Trends,2026-05-07,2026,2,February
2026-03-01,Bola Tinubu,41,Google Trends,2026-05-07,2026,3,March
2026-03-08,Bola Tinubu,37,Google Trends,2026-05-07,2026,3,March
2026-03-15,Bola Tinubu,37,Google Trends,2026-05-07,2026,3,March
2026-03-22,Bola Tinubu,35,Google Trends,2026-05-07,2026,3,March
2026-03-29,Bola Tinubu,66,Google Trends,2026-05-07,2026,3,March
2026-04-05,Bola Tinubu,48,Google Trends,2026-05-07,2026,4,April
2026-04-12,Bola Tinubu,73,Google Trends,2026-05-07,2026,4,April
2026-04-19,Bola Tinubu,76,Google Trends,2026-05-07,2026,4,April
2026-04-26,Bola Tinubu,57,Google Trends,2026-05-07,2026,4,April
2026-01-04, Atiku Abubakar,24,Google Trends,2026-05-07,2026,1,January
2026-01-11, Atiku Abubakar,86,Google Trends,2026-05-07,2026,1,January
2026-01-18, Atiku Abubakar,19,Google Trends,2026-05-07,2026,1,January
2026-01-25, Atiku Abubakar,16,Google Trends,2026-05-07,2026,1,January
2026-02-01, Atiku Abubakar,16,Google Trends,2026-05-07,2026,2,February
2026-02-08, Atiku Abubakar,15,Google Trends,2026-05-07,2026,2,February
2026-02-15, Atiku Abubakar,14,Google Trends,2026-05-07,2026,2,February
2026-02-22, Atiku Abubakar,42,Google Trends,2026-05-07,2026,2,February
2026-03-01, Atiku Abubakar,18,Google Trends,2026-05-07,2026,3,March
2026-03-08, Atiku Abubakar,11,Google Trends,2026-05-07,2026,3,March
2026-03-15, Atiku Abubakar,11,Google Trends,2026-05-07,2026,3,March
2026-03-22, Atiku Abubakar,15,Google Trends,2026-05-07,2026,3,March
2026-03-29, Atiku Abubakar,26,Google Trends,2026-05-07,2026,3,March
2026-04-05, Atiku Abubakar,18,Google Trends,2026-05-07,2026,4,April
2026-04-12, Atiku Abubakar,40,Google Trends,2026-05-07,2026,4,April
2026-04-19, Atiku Abubakar,24,Google Trends,2026-05-07,2026,4,April
2026-04-26, Atiku Abubakar,33,Google Trends,2026-05-07,2026,4,April
2026-01-04, Peter Obi,44,Google Trends,2026-05-07,2026,1,January
2026-01-11, Peter Obi,34,Google Trends,2026-05-07,2026,1,January
