candidate_name,total_views,total_likes,total_comments,total_engagement,avg_engagement_rate
Atiku Abubakar,174005,2952,1074,4026,0.0268
Bola Tinubu,1840207,24374,5341,29715,0.0106
Goodluck Jonathan,48763,662,603,1265,0.0252
Nasir El-Rufai,903360,1902,1728,3630,0.006
Omoyele Sowore,261520,5841,1278,7119,0.039
Orji Uzor Kalu,351477,3589,2033,5622,0.0186
Peter Obi,226831,3804,4381,8185,0.0319
Rabiu Kwankwaso,100653,724,335,1059,0.0203
Rotimi Amaechi,802842,1859,2943,4802,0.0078
Seyi Makinde,181715,753,89,842,0.0139
