candidate_name,total_views,total_engagement,avg_engagement_rate,avg_trend_score,popularity_score
atiku abubakar,174005,4026,0.0268,25.176470588235293,0.1393
bola tinubu,1840207,29715,0.0106,42.588235294117645,0.2182
goodluck jonathan,48763,1265,0.0252,28.176470588235293,0.1535
nasir el-rufai,903360,3630,0.006,16.0,0.083
omoyele sowore,261520,7119,0.039,12.529411764705882,0.0821
orji uzor kalu,351477,5622,0.0186,5.705882352941177,0.0378
peter obi,226831,8185,0.0319,54.470588235294116,0.2883
rabiu kwankwaso,100653,1059,0.0203,8.470588235294118,0.0525
rotimi amaechi,802842,4802,0.0078,1.3529411764705883,0.0107
seyi makinde,181715,842,0.0139,22.235294117647058,0.1181
