"Time","Bola Tinubu"," Atiku Abubakar"," Peter Obi"," Rabiu Kwankwaso"," Rotimi Amaechi"
"2025-12-28",33,15,90,8,0
"2026-01-04",30,24,44,13,0
"2026-01-11",27,86,34,0,0
"2026-01-18",30,19,37,4,0
"2026-01-25",44,16,35,8,0
"2026-02-01",28,16,39,6,0
"2026-02-08",27,15,48,40,4
"2026-02-15",33,14,52,8,3
"2026-02-22",35,42,100,0,0
"2026-03-01",41,18,59,0,4
"2026-03-08",37,11,42,0,3
"2026-03-15",37,11,39,0,0
"2026-03-22",35,15,55,7,0
"2026-03-29",66,26,63,32,0
"2026-04-05",48,18,53,7,0
"2026-04-12",73,40,75,7,5
"2026-04-19",76,24,63,2,1
"2026-04-26",57,33,88,10,3
