content_id,candidate_name,platform,content_title,published_date,views,likes,comments,engagement,data_collected_date
dbuAzm6HOJc,Bola Tinubu,YouTube,Tinubu mocks ADC and Atiku,2026-04-20T17:12:07Z,153641,1334,177,1511,2026-04-26
Vw8xKpOY97I,Bola Tinubu,YouTube,"""I'm different , I am Bola Ahmed Tinubu"" (Full Interview) - BBC Africa",2022-12-06T16:39:39Z,770687,6275,3214,9489,2026-04-26
O2yOluE__Us,Bola Tinubu,YouTube,Bola Tinubu spoke about his presidential candidacy. Here’s a taster #nigeria #bolatinubu #tinubu,2022-12-07T16:14:23Z,913993,17261,1564,18825,2026-04-26
2Ii11GCB9L8,Bola Tinubu,YouTube,Critics warn Tinubu's APC puts democracy at risk | DW News,2026-04-23T18:10:00Z,19650,301,103,404,2026-04-26
ke0rO6g_cz0,Bola Tinubu,YouTube,"Sowore Vows To Defeat Pres. Tinubu In 2027, Slams Opposition Figures",2026-04-26T15:46:20Z,2371,38,15,53,2026-04-26
fH19giBZYj8,Bola Tinubu,YouTube,"Pasuma live on stage, backs Bola Ahmed Tinubu and endorses Solomon Adeola Olamilekan for Ogun State",2026-04-26T17:07:57Z,344,16,0,16,2026-04-26
Sl3koWdCZxs,Bola Tinubu,YouTube,What Is TINUBU Hiding From Nigerians? ,2026-04-22T14:00:06Z,18594,0,55,55,2026-04-26
S2mhYfFckJQ,Bola Tinubu,YouTube,PRESIDENCY: TINUBU HALE AND HEARTY,2026-01-27T16:06:13Z,43187,259,134,393,2026-04-26
gsogrpNNx0I,Bola Tinubu,YouTube,PRESIDENT BOLA TINUBU SPEECH AT THE APC ELECTIVE  NATIONAL CONVENTION ,2026-03-27T23:42:13Z,4974,18,10,28,2026-04-26
xPTK1k06Q6w,Bola Tinubu,YouTube,Bola Tinubu's state visit to UK: major steel deal agreed with British PM,2026-03-19T17:08:06Z,9771,38,63,101,2026-04-26
lighGn3GyMw,Atiku Abubakar,YouTube,Atiku Abubakar's Full Speech At The Nigerian Bar Association Annual General Conference 2022,2022-08-23T07:30:48Z,2351,145,14,159,2026-04-26
6ByF5uqxT7Y,Atiku Abubakar,YouTube,“Atiku Should Support Obi” — Hakeem Baba-Ahmed says🔥,2026-04-26T15:29:24Z,5899,0,14,14,2026-04-26
v_XyzAM0GNw,Atiku Abubakar,YouTube,"Beautiful moments his excellency, Atiku Abubakar surprised Cross Okonkwo at his wedding. So adorable",2026-04-26T03:26:07Z,5556,46,0,46,2026-04-26
FJY6jFAbwK4,Atiku Abubakar,YouTube,I will vote for Bola Ahmed Tinubu or Atiku Abubakar. I have made my choice Oby Ezekwesili,2026-04-26T18:43:07Z,263,9,1,10,2026-04-26
